新選組,鳥羽・伏見の戦い,油小路事件,禁門の変,明保野亭事件,天満屋事件
お好み焼き,ちょぼ焼き,食肉,魚介類,麩の焼き,屋台
道頓堀,宮本輝,大黒橋,ミナミ,戎橋,金龍ラーメン
阿蘇山,阿蘇谷,日本百名山,草千里ヶ浜,最高峰,雲仙岳
首里城,沖縄美ら島財団,グスク,守礼門,天女橋,国営沖縄記念公園
紫式部,長保,一条天皇,女官,藤原彰子,大弐三位
ナスカの地上絵,ナスカ文化,ポール・コソック,マリア・ライヒェ,冬至,夏至
エリア51,陰謀論,巡航ミサイル,ロッキード・マーティン,水素爆弾,ネリス試験訓練場
姫路城,石垣,櫓 (城郭),池田氏,池田輝政,姫路公園
琵琶湖,長さ,水運,日本一の一覧,淡水,比良山地
アーノルド・シュワルツェネッガー,アメリカ映画100年のヒーローと悪役ベスト100,ターミネーター2,ボディビル,キャサリン・シュワルツェネッガー,ツインズ (映画)
GitHub,VBScript,ソフトウェア開発,取締役会,Visual Studio Code,ビル・ゲイツ
イーロン・マスク,X.com,スペースX,起業家,エンジニア,ニューラリンク
スフィンクス,ヘロドトス,王,ギーザ,翼,永井荷風
平清盛,1181年,鳥羽天皇,崇徳天皇,池禅尼,高倉天皇
機動戦士ガンダム,∀ガンダム,矢立肇,大河原邦男,クローバー (玩具メーカー),黒歴史
東方Project,東京電機大学,博麗霊夢,ZUN (ゲームクリエイター),東方非想天則 〜 超弩級ギニョルの謎を追え,上海アリス幻樂団
ファミリーマート,沖正一郎,TOMONY,セブンイレブン,渡辺紀征,西武グループ
東京大学,外山正一,東京農林学校,加藤弘之,新制大学,菊地大麓
ウィリアム・スミス・クラーク,ゲオルク・アウグスト大学ゲッティンゲン,心臓病,動物学,新島襄,お雇い外国人
いらすとや,コーラングレ,ANNニュース,セサミストリート,アイカツ!
Google,検索エンジン,ラリー・ペイジ,クラウドコンピューティング,サンダー・ピチャイ,Alphabet (企業)
Apple,NASDAQ,クラリス (企業),スティーブ・ジョブズ,最高執行責任者,フィリップ・シラー
手塚治虫,三つ目がとおる,どろろ,ジャングル大帝,小学館漫画賞,奈良県立医科大学
藤子不二雄A,旭日小綬章,氷見市,多摩区,笑ゥせぇるすまん,手塚治虫文化賞
藤子・F・不二雄,小学館漫画賞,キテレツ大百科,チンプイ,21エモン,オバケのQ太郎
赤塚不二夫,小学館漫画賞,天才バカボン,おそ松くん,ギャグゲリラ,嵐をこえて
尾田栄一郎,実食! 悪魔の実!!,CROSS EPOCH,ONE PIECE 珍獣島のチョッパー王国,鳥山明,ONE PIECE FILM STRONG WORLD
阪神タイガース,2003年の日本シリーズ,2005年の日本シリーズ,村山実,阪急阪神ホールディングス,1985年の日本シリーズ
読売ジャイアンツ,1967年の日本シリーズ,1972年の日本シリーズ,1973年の日本シリーズ,1968年の日本シリーズ,1952年の日本シリーズ
イチロー,首位打者 (日本プロ野球),西春日井郡,バッティングセンター,コミッショナー特別表彰,鈴木宣之
ゴジラ,キングギドラ,自然災害,ぬいぐるみ,着ぐるみ,原子怪獣現わる
マクドナルド,登録商標,ファーストフード,多国籍企業,レイ・クロック,ハンバーガー
カオス理論,数値解析,バタフライ効果,ジェームズ・クラーク・マクスウェル,コンデンサ,スペクトル
京都大学吉田寮,木構造 (建築),学生寮,特別高等警察,新渡戸稲造,個人主義
熊野寮,京都大学大学院工学研究科・工学部,京都大学人文科学研究所,月曜から夜ふかし,デモ活動
絆創膏,サビオ,医療機器,ジョンソン・エンド・ジョンソン,コロジオン,アール・ディクソン
源氏物語,河海抄,徳川美術館,光源氏,紫式部日記,紫の上
咸臨丸,木村芥舟,蒸気船,ジョン・ブルック,清水市,開拓使
Apex,豊明市,エンジンコントロールユニット,マツダ・RX-7,エーペックスレジェンズ,全日本GT選手権
エーペックスレジェンズ,バトルロイヤルゲーム,ソフトウェア事前審査機構,チャット,Twitch,アイテム課金
宝塚市,阪神北県民局,宝塚ファミリーランド,ウグイス,六甲山,宝塚観光花火大会
沖田総司,土方歳三,9月 (旧暦),江戸藩邸,沖田みつ,櫛羅藩
アレクサンドロス3世,スタテイラ,アジア王,マケドニア王国,アレクサンドロス4世,アレキサンダー大王 (映画)
始皇帝,趙姫 (荘襄王),兵馬俑,万里の長城,秦朝,封建制
